 unit--timestamp[ms];bmi160_a_x[mg];bmi160_a_y[mg];bmi160_a_z[mg];bmi160_g_x[mDeg];bmi160_g_y[mDeg];bmi160_g_z[mDeg];
0;7;121;1160;-108215;56945;-2685;
4;7;121;1160;-108215;56945;-2685;
8;7;121;1160;-108215;56945;-2685;
12;-96;-3;893;-54931;24291;-11840;
16;-96;-3;893;-54931;24291;-11840;
20;-96;-3;893;-29174;10131;-10742;
24;-144;-60;1108;-29174;10131;-10742;
28;-144;-60;1108;-29174;10131;-10742;
32;-135;-82;975;-2868;-3845;-2014;
36;-135;-82;975;-2868;-3845;-2014;
40;-75;53;1056;23864;-17089;4516;
44;-75;53;1056;23864;-17089;4516;
48;-75;53;1056;23864;-17089;4516;
52;-47;100;1013;42663;-28503;3417;
56;-47;100;1013;42663;-28503;3417;
60;35;241;1028;33691;-22888;5371;
64;35;241;1028;33691;-22888;5371;
68;35;241;1028;33691;-22888;5371;
72;45;249;994;11413;-10253;793;
76;45;249;994;11413;-10253;793;
80;14;195;1014;-19531;7751;-671;
84;14;195;1014;-19531;7751;-671;
88;14;195;1014;-19531;7751;-671;
92;-25;126;1029;-35705;17089;-1586;
96;-25;126;1029;-35705;17089;-1586;
100;-70;51;1026;-28686;13305;-3784;
104;-70;51;1026;-28686;13305;-3784;
108;-70;51;1026;-28686;13305;-3784;
112;-77;37;1021;-16418;6530;-1586;
116;-77;37;1021;-16418;6530;-1586;
120;-70;54;1033;-1159;-1953;61;
124;-44;95;1024;11779;-9338;793;
128;-44;95;1024;12817;-9765;1037;
132;-7;155;1018;12817;-9765;1037;
136;-7;155;1018;12817;-9765;1037;
140;-7;155;1018;12817;-9765;1037;
144;-7;155;1018;12817;-9765;1037;
148;-7;155;1018;1647;-3295;244;
152;0;167;1021;1647;-3295;244;
156;0;167;1021;1647;-3295;244;
160;-19;134;1025;-11596;4333;-427;
164;-19;134;1025;-11596;4333;-427;
168;-41;97;1024;-15441;6469;-1037;
172;-41;97;1024;-15441;6469;-1037;
176;-41;97;1024;-15441;6469;-1037;
180;-54;75;1021;-10559;3723;-1037;
184;-46;85;1027;-3112;-305;-366;
188;-46;85;1027;-3112;-305;-366;
192;-46;85;1027;-3112;-305;-366;
